t_c | Gold: nepal (84.0,28.0) | Model: nepal (84.0,28.0) p = 0
t_c | Gold: denmark (10.0,56.0) | Model: denmark (10.0,56.0) p = 0
t_c | Gold: u.s. (-97.0,38.0) | Model: null
t_c | Gold: spain (-4.0,40.0) | Model: spain (-4.0,40.0) p = 0
t_c | Gold: u.s. (-97.0,38.0) | Model: null
t_c | Gold: italy (12.8333333,42.8333333) | Model: italy (12.833333333333334,42.833333333333336) p = 0
t_i | Gold: australia (135.0,-25.0) | Model: australia (-75.5322222,20.1063889) p = 64100
t_c | Gold: switzerland (8.0,47.0) | Model: switzerland (8.0,47.0) p = 0
t_c | Gold: france (2.0,46.0) | Model: france (2.0,46.0) p = 0
t_c | Gold: france (2.0,46.0) | Model: france (2.0,46.0) p = 0
t_i | Gold: australia (135.0,-25.0) | Model: australia (-75.5322222,20.1063889) p = 64100
t_c | Gold: spain (-4.0,40.0) | Model: spain (-4.0,40.0) p = 0
t_c | Gold: czech republic (15.0,49.75) | Model: czech republic (15.5,49.75) p = 0
t_c | Gold: spain (-4.0,40.0) | Model: spain (-4.0,40.0) p = 0
t_c | Gold: czech republic (15.0,49.75) | Model: czech republic (15.5,49.75) p = 0
t_i | Gold: australia (135.0,-25.0) | Model: australia (-75.5322222,20.1063889) p = 64100
t_i | Gold: australia (135.0,-25.0) | Model: australia (-75.5322222,20.1063889) p = 64100
t_i | Gold: canada (-96.0,60.0) | Model: canada (1.7833333,48.9333333) p = 1350
t_c | Gold: u.s. (-97.0,38.0) | Model: null
t_c | Gold: zimbabwe (30.9333333,-20.3) | Model: zimbabwe (30.0,-20.0) p = 0
t_c | Gold: czech republic (15.0,49.75) | Model: czech republic (15.5,49.75) p = 0
t_c | Gold: italy (12.8333333,42.8333333) | Model: italy (12.833333333333334,42.833333333333336) p = 0
t_i | Gold: britain (-4.0,54.0) | Model: britain (-77.69722,39.25278) p = 18069
t_c | Gold: u.s. (-97.0,38.0) | Model: null
#############################################
#############################################
t_i | Gold: tripoli (35.85,34.4333333) | Model: tripoli (-89.99389,45.55528) p = 1125
t_i | Gold: lebanon (35.8333333,33.8333333) | Model: lebanon (-90.05278,33.18889) p = 102
t_i | Gold: lebanon (35.8333333,33.8333333) | Model: lebanon (-90.05278,33.18889) p = 102
#############################################
t_i | Gold: london (-0.1,51.5166667) | Model: london (-83.00222,35.86972) p = 846
t_i | Gold: spain (-4.0,40.0) | Model: spain (-83.53806,30.86444) p = 2682
#############################################
t_i | Gold: new york (-74.00639,40.71417) | Model: new york (-87.20083,30.83833) p = 17778
t_i | Gold: belgium (4.0,50.8333333) | Model: belgium (-87.63806,40.06139) p = 529
#############################################
t_i | Gold: pakistan (-0.0,30.0) | Model: pakistan (70.0,30.0) p = 0
t_i | Gold: pakistan (-0.0,30.0) | Model: pakistan (70.0,30.0) p = 0
t_i | Gold: pakistan (-0.0,30.0) | Model: pakistan (70.0,30.0) p = 0
#############################################
t_i | Gold: china (-0.0,35.0) | Model: china (105.0,35.0) p = 0
t_c | Gold: hong kong (114.1833333,22.25) | Model: hong kong (114.16666666666667,22.25) p = 0
t_c | Gold: shanghai (121.4666667,31.2333333) | Model: shanghai (121.3680556,31.1094444) p = 7280
t_i | Gold: china (-0.0,35.0) | Model: china (105.0,35.0) p = 0
t_c | Gold: yingkou (122.5080556,40.6341667) | Model: yingkou (122.2247222,40.6680556) p = 4960
t_c | Gold: shanghai (121.4666667,31.2333333) | Model: shanghai (121.3680556,31.1094444) p = 7280
t_c | Gold: hong kong (114.1833333,22.25) | Model: hong kong (114.16666666666667,22.25) p = 0
t_c | Gold: yingkou (122.5080556,40.6341667) | Model: yingkou (122.2247222,40.6680556) p = 4960
t_c | Gold: yingkou (122.5080556,40.6341667) | Model: yingkou (122.2247222,40.6680556) p = 4960
t_c | Gold: shanghai (121.4666667,31.2333333) | Model: shanghai (121.3680556,31.1094444) p = 7280
t_c | Gold: shanghai (121.4666667,31.2333333) | Model: shanghai (121.3680556,31.1094444) p = 7280
t_c | Gold: shanghai (121.4666667,31.2333333) | Model: shanghai (121.3680556,31.1094444) p = 7280
t_c | Gold: singapore (103.8,1.3666667) | Model: singapore (103.8,1.3666666666666667) p = 0
t_c | Gold: hong kong (114.1833333,22.25) | Model: hong kong (114.16666666666667,22.25) p = 0
#############################################
t_i | Gold: angola (18.5,-12.5) | Model: angola (-46.4333333,-21.5333333) p = 1797
t_i | Gold: luanda (13.2344444,-8.8383333) | Model: luanda (-45.2166667,-21.7333333) p = 1250
t_i | Gold: angola (18.5,-12.5) | Model: angola (-46.4333333,-21.5333333) p = 1797
#############################################
t_c | Gold: u.s. (-97.0,38.0) | Model: null
t_i | Gold: cuba (-80.0,21.5) | Model: cuba (-97.45556,39.80278) p = 228
t_i | Gold: washington (-77.03667,38.895) | Model: washington (-97.05056,39.81806) p = 1277
t_c | Gold: united states (-97.0,38.0) | Model: united states (-97.0,38.0) p = 0
t_i | Gold: cuba (-80.0,21.5) | Model: cuba (-97.45556,39.80278) p = 228
t_c | Gold: u.s. (-97.0,38.0) | Model: null
t_i | Gold: washington (-77.03667,38.895) | Model: washington (-97.05056,39.81806) p = 1277
t_c | Gold: united states (-97.0,38.0) | Model: united states (-97.0,38.0) p = 0
t_c | Gold: united states (-97.0,38.0) | Model: united states (-97.0,38.0) p = 0
t_c | Gold: united states (-97.0,38.0) | Model: united states (-97.0,38.0) p = 0
t_c | Gold: guantanamo naval base (-75.1333333,20.033333) | Model: null
t_i | Gold: washington (-77.03667,38.895) | Model: washington (-97.05056,39.81806) p = 1277
t_i | Gold: cuba (-80.0,21.5) | Model: cuba (-97.45556,39.80278) p = 228
t_i | Gold: miami (-80.19389,25.77389) | Model: miami (-98.25,49.3666667) p = 3643
t_i | Gold: cuba (-80.0,21.5) | Model: cuba (-97.45556,39.80278) p = 228
t_i | Gold: florida (-81.68751,28.06163) | Model: florida (-97.8666667,25.9) p = 469
t_i | Gold: havana (-82.3641667,23.1319444) | Model: havana (-95.94167,37.09167) p = 86
t_i | Gold: cuba (-80.0,21.5) | Model: cuba (-97.45556,39.80278) p = 228
t_i | Gold: cuba (-80.0,21.5) | Model: cuba (-97.45556,39.80278) p = 228
t_c | Gold: united states (-97.0,38.0) | Model: united states (-97.0,38.0) p = 0
t_c | Gold: guantanamo bay (-75.1333333,20.033333) | Model: null
t_c | Gold: u.s. (-97.0,38.0) | Model: null
t_i | Gold: cuba (-80.0,21.5) | Model: cuba (-97.45556,39.80278) p = 228
t_i | Gold: cuba (-80.0,21.5) | Model: cuba (-97.45556,39.80278) p = 228
t_c | Gold: u.s. (-97.0,38.0) | Model: null
t_c | Gold: guantanamo bay (-75.1333333,20.033333) | Model: null
t_i | Gold: cuba (-80.0,21.5) | Model: cuba (-97.45556,39.80278) p = 228
#############################################
t_i | Gold: israel (34.75,31.5) | Model: israel (-79.81111,39.31806) p = 593
t_i | Gold: egypt (30.0,27.0) | Model: egypt (-78.9375,41.24611) p = 5349
t_i | Gold: jerusalem (35.2333333,31.7666667) | Model: jerusalem (-80.51583,35.815) p = 1401
t_i | Gold: egypt (30.0,27.0) | Model: egypt (-78.9375,41.24611) p = 5349
#############################################
t_c | Gold: india (77.0,20.0) | Model: india (77.0,20.0) p = 0
t_c | Gold: sri lanka (80.5,7.5) | Model: sri lanka (81.0,7.0) p = 0
t_c | Gold: colombo (79.8477778,6.9319444) | Model: colombo (79.8477778,6.9319444) p = 5
t_c | Gold: india (77.0,20.0) | Model: india (77.0,20.0) p = 0
t_c | Gold: sri lanka (80.5,7.5) | Model: sri lanka (81.0,7.0) p = 0
t_c | Gold: india (77.0,20.0) | Model: india (77.0,20.0) p = 0
t_c | Gold: sri lanka (80.5,7.5) | Model: sri lanka (81.0,7.0) p = 0
#############################################
t_i | Gold: pakistan (-0.0,30.0) | Model: pakistan (70.0,30.0) p = 0
t_c | Gold: azad ( free ) kashmir (70.9722222,32.9797222) | Model: null
t_c | Gold: garhi habibullah (73.3833333,34.4) | Model: garhi habibullah (73.3833333,34.4) p = 5184
#############################################
t_c | Gold: tokyo (139.7513889,35.685) | Model: tokyo (139.7513889,35.685) p = 2350
t_c | Gold: haneda (139.75,35.55) | Model: haneda (139.75,35.55) p = 7533
t_c | Gold: tokyo (139.7513889,35.685) | Model: tokyo (139.7513889,35.685) p = 2350
t_c | Gold: itami (135.4,34.7833333) | Model: itami (135.4166667,34.7666667) p = 72
t_i | Gold: osaka (137.2666667,35.95) | Model: osaka (135.5,34.6666667) p = 6935
#############################################
t_i | Gold: paris (2.3333333,48.8666667) | Model: paris (-84.25306,38.20972) p = 8928
#############################################
t_i | Gold: buenos aires (-58.6725,-34.5875) | Model: buenos aires (-74.1672222,5.7772222) p = 1800
t_i | Gold: argentina (-64.0,-34.0) | Model: argentina (-74.2666667,9.7833333) p = 2
t_i | Gold: buenos aires (-58.6725,-34.5875) | Model: buenos aires (-74.1672222,5.7772222) p = 1800
t_i | Gold: argentina (-64.0,-34.0) | Model: argentina (-74.2666667,9.7833333) p = 2
t_i | Gold: argentina (-64.0,-34.0) | Model: argentina (-74.2666667,9.7833333) p = 2
#############################################
t_i | Gold: ohio (-82.67375,40.19406) | Model: ohio (-83.81583,32.58278) p = 1449
#############################################
t_c | Gold: chechnya (45.7,43.3) | Model: null
t_c | Gold: russia (100.0,60.0) | Model: russia (100.0,60.0) p = 0
t_c | Gold: grozny (45.7002778,43.3083333) | Model: grozny (45.7002778,43.3083333) p = 997
t_c | Gold: chechnya (45.7,43.3) | Model: null
#############################################
t_i | Gold: bonn (7.1,50.7333333) | Model: bonn (-81.38556,39.53139) p = 932
#############################################
t_i | Gold: colombia (-72.0,4.0) | Model: colombia (-75.6666667,5.1666667) p = 5
t_i | Gold: colombia (-72.0,4.0) | Model: colombia (-75.6666667,5.1666667) p = 5
t_c | Gold: gorgona (-76.3833333,3.4) | Model: gorgona (-76.3833333,3.4) p = 571
t_i | Gold: colombia (-72.0,4.0) | Model: colombia (-75.6666667,5.1666667) p = 5
t_i | Gold: ecuador (-77.5,-2.0) | Model: ecuador (-75.7666667,6.2833333) p = 5293
t_i | Gold: buenaventura (-77.0,3.5833333) | Model: buenaventura (-75.6591667,8.7130556) p = 1800
#############################################
t_i | Gold: new york (-74.00639,40.71417) | Model: new york (-87.20083,30.83833) p = 17778
t_c | Gold: u.s. (-97.0,38.0) | Model: null
t_i | Gold: russia (100.0,60.0) | Model: russia (-84.40944,40.23444) p = 415
t_c | Gold: u.s. (-97.0,38.0) | Model: null
t_i | Gold: sweden (15.0,62.0) | Model: sweden (-84.64194,34.54333) p = 7305
t_i | Gold: spain (-4.0,40.0) | Model: spain (-83.53806,30.86444) p = 2682
t_i | Gold: spain (-4.0,40.0) | Model: spain (-83.53806,30.86444) p = 2682
#############################################
t_i | Gold: london (-0.1,51.5166667) | Model: london (-82.62944,40.91028) p = 8386
t_i | Gold: england (-2.0,53.0) | Model: england (7.0333333,52.2166667) p = 713
t_i | Gold: england (-2.0,53.0) | Model: england (7.0333333,52.2166667) p = 713
t_i | Gold: london (-0.1,51.5166667) | Model: london (-82.62944,40.91028) p = 8386
t_i | Gold: leicester (-1.0,52.6666667) | Model: leicester (-82.69639,35.655) p = 103
#############################################
t_i | Gold: paris (2.3333333,48.8666667) | Model: paris (-84.25306,38.20972) p = 8928
#############################################
t_i | Gold: amsterdam (4.9166667,52.35) | Model: amsterdam (-84.43583,30.72722) p = 17409
#############################################
t_i | Gold: new york (-74.00639,40.71417) | Model: new york (-87.20083,30.83833) p = 17778
#############################################
t_c | Gold: sri lanka (80.5,7.5) | Model: sri lanka (81.0,7.0) p = 0
t_i | Gold: australia (135.0,-25.0) | Model: australia (121.5580556,16.8786111) p = 64100
t_c | Gold: colombo (79.8477778,6.9319444) | Model: colombo (79.8477778,6.9319444) p = 5
t_c | Gold: sri lanka (80.5,7.5) | Model: sri lanka (81.0,7.0) p = 0
t_i | Gold: australia (135.0,-25.0) | Model: australia (121.5580556,16.8786111) p = 64100
t_i | Gold: australia (135.0,-25.0) | Model: australia (121.5580556,16.8786111) p = 64100
t_c | Gold: sri lanka (80.5,7.5) | Model: sri lanka (81.0,7.0) p = 0
t_c | Gold: colombo (79.8477778,6.9319444) | Model: colombo (79.8477778,6.9319444) p = 5
t_i | Gold: australia (135.0,-25.0) | Model: australia (121.5580556,16.8786111) p = 64100
t_c | Gold: india (77.0,20.0) | Model: india (77.0,20.0) p = 0
t_c | Gold: zimbabwe (30.9333333,-20.3) | Model: zimbabwe (30.9166667,-20.2666667) p = 2443
t_i | Gold: australia (135.0,-25.0) | Model: australia (121.5580556,16.8786111) p = 64100
t_c | Gold: sri lanka (80.5,7.5) | Model: sri lanka (81.0,7.0) p = 0
#############################################
t_i | Gold: london (-0.1,51.5166667) | Model: london (-87.08778,31.2975) p = 451
t_c | Gold: u.s. (-97.0,38.0) | Model: null
t_i | Gold: florida (-81.68751,28.06163) | Model: florida (-85.71028,40.16028) p = 2228
t_i | Gold: london (-0.1,51.5166667) | Model: london (-87.08778,31.2975) p = 451
t_i | Gold: nottingham (-1.1666667,52.9666667) | Model: nottingham (-86.22278,33.36222) p = 1042
#############################################
t_i | Gold: york (-1.0833333,53.9666667) | Model: york (-92.26889,43.53306) p = 2608
t_i | Gold: england (-2.0,53.0) | Model: england (-91.96889,34.54417) p = 3217
t_i | Gold: newmarket (0.4166667,52.25) | Model: newmarket (-91.73194,39.75972) p = 614
#############################################
t_c | Gold: tunisia (9.0,34.0) | Model: tunisia (9.0,34.0) p = 0
t_c | Gold: tunis (10.1797222,36.8027778) | Model: tunis (10.1797222,36.8027778) p = 6100
#############################################
t_c | Gold: india (77.0,20.0) | Model: india (77.0,20.0) p = 0
t_i | Gold: bombay (72.8258333,18.975) | Model: bombay (-84.26639,43.74167) p = 481
t_c | Gold: new delhi (77.2,28.6) | Model: new delhi (77.2,28.6) p = 779
t_i | Gold: bombay (72.8258333,18.975) | Model: bombay (-84.26639,43.74167) p = 481
#############################################
t_i | Gold: bangkok (100.5166667,13.75) | Model: bangkok (112.1333333,-7.85) p = 7052
t_i | Gold: bangkok (100.5166667,13.75) | Model: bangkok (112.1333333,-7.85) p = 7052
#############################################
t_c | Gold: romania (25.0,46.0) | Model: romania (25.0,46.0) p = 0
t_c | Gold: bucharest (26.1,44.4333333) | Model: bucharest (26.1,44.4333333) p = 2194
t_c | Gold: romania (25.0,46.0) | Model: romania (25.0,46.0) p = 0
t_c | Gold: romania (25.0,46.0) | Model: romania (25.0,46.0) p = 0
#############################################
t_i | Gold: warsaw (21.0,52.25) | Model: warsaw (-84.19028,34.01806) p = 2380
#############################################
t_i | Gold: washington (-77.03667,38.895) | Model: washington (-91.29917,31.57861) p = 124
t_i | Gold: colorado (-105.54781,38.99604) | Model: colorado (-84.2666667,9.7) p = 1
t_i | Gold: chicago (-87.65,41.85) | Model: chicago (-91.6166667,14.0833333) p = 758
t_i | Gold: colorado (-105.54781,38.99604) | Model: colorado (-84.2666667,9.7) p = 1
#############################################
t_i | Gold: senegal (-14.0,14.0) | Model: senegal (-81.2933333,7.7458333) p = 409
t_c | Gold: dakar (-17.4380556,14.6708333) | Model: dakar (-17.4380556,14.6708333) p = 1098
t_i | Gold: senegal (-14.0,14.0) | Model: senegal (-81.2933333,7.7458333) p = 409
#############################################
t_c | Gold: croatia (15.5,45.1666667) | Model: croatia (15.5,45.166666666666664) p = 0
t_i | Gold: zagreb (16.0683333,45.7405556) | Model: zagreb (16.6844444,44.7008333) p = 550
t_c | Gold: croatia (15.5,45.1666667) | Model: croatia (15.5,45.166666666666664) p = 0
t_c | Gold: karin gornji (15.7325,44.0705556) | Model: karin gornji (15.7325,44.0705556) p = 167
t_c | Gold: zadar (15.3516667,44.0980556) | Model: zadar (15.2422222,44.1197222) p = 39
t_c | Gold: zadar (15.3516667,44.0980556) | Model: zadar (15.2422222,44.1197222) p = 39
t_c | Gold: zadar (15.3516667,44.0980556) | Model: zadar (15.2422222,44.1197222) p = 39
t_c | Gold: croatia (15.5,45.1666667) | Model: croatia (15.5,45.166666666666664) p = 0
t_i | Gold: krajina (17.8,45.5666667) | Model: krajina (16.0505556,46.69) p = 829
t_i | Gold: bosnia (-0.0,44.0) | Model: bosnia (18.0,44.0) p = 0
t_c | Gold: yugoslavia (20.75,43.75) | Model: null
t_i | Gold: krajina (17.8,45.5666667) | Model: krajina (16.0505556,46.69) p = 829
#############################################
t_i | Gold: pakistan (-0.0,30.0) | Model: pakistan (70.0,30.0) p = 0
t_i | Gold: london (-0.1,51.5166667) | Model: london (79.55,52.8) p = 208
t_i | Gold: pakistan (-0.0,30.0) | Model: pakistan (70.0,30.0) p = 0
t_i | Gold: england (-2.0,53.0) | Model: england (22.4833333,63.3166667) p = 713
t_i | Gold: england (-2.0,53.0) | Model: england (22.4833333,63.3166667) p = 713
t_i | Gold: pakistan (-0.0,30.0) | Model: pakistan (70.0,30.0) p = 0
#############################################
t_i | Gold: auckland (174.7833333,-36.85) | Model: auckland (-119.10583,36.58806) p = 11866
t_i | Gold: auckland (174.7833333,-36.85) | Model: auckland (-119.10583,36.58806) p = 11866
t_i | Gold: auckland (174.7833333,-36.85) | Model: auckland (-119.10583,36.58806) p = 11866
t_i | Gold: north shore (174.75,-36.8) | Model: north shore (-117.18333,34.26806) p = 24639
t_i | Gold: auckland (174.7833333,-36.85) | Model: auckland (-119.10583,36.58806) p = 11866
t_i | Gold: auckland (174.7833333,-36.85) | Model: auckland (-119.10583,36.58806) p = 11866
t_i | Gold: wellington (174.7666667,-41.2833333) | Model: wellington (-119.375,38.75639) p = 60238
#############################################
t_c | Gold: austria (13.3333333,47.3333333) | Model: austria (13.333333333333334,47.333333333333336) p = 0
t_c | Gold: vienna (16.4166667,48.25) | Model: vienna (16.3666667,48.2) p = 5
t_c | Gold: austria (13.3333333,47.3333333) | Model: austria (13.333333333333334,47.333333333333336) p = 0
#############################################
t_c | Gold: india (77.0,20.0) | Model: india (77.0,20.0) p = 0
t_c | Gold: sri lanka (80.5,7.5) | Model: sri lanka (81.0,7.0) p = 0
t_c | Gold: colombo (79.8477778,6.9319444) | Model: colombo (79.8477778,6.9319444) p = 5
t_c | Gold: india (77.0,20.0) | Model: india (77.0,20.0) p = 0
t_c | Gold: sri lanka (80.5,7.5) | Model: sri lanka (81.0,7.0) p = 0
t_c | Gold: sri lanka (80.5,7.5) | Model: sri lanka (81.0,7.0) p = 0
#############################################
t_c | Gold: rwanda (30.0,-2.0) | Model: rwanda (30.0,-2.0) p = 0
t_i | Gold: zaire (25.0,0.0) | Model: zaire (-72.2,19.4833333) p = 526
t_c | Gold: kigali (30.0383333,-1.9638889) | Model: kigali (29.95,-2.3) p = 572
t_c | Gold: rwanda (30.0,-2.0) | Model: rwanda (30.0,-2.0) p = 0
t_i | Gold: zaire (25.0,0.0) | Model: zaire (-72.2,19.4833333) p = 526
t_i | Gold: zaire (25.0,0.0) | Model: zaire (-72.2,19.4833333) p = 526
t_c | Gold: kigali (30.0605556,-1.9536111) | Model: kigali (29.95,-2.3) p = 572
t_c | Gold: goma (29.2227778,-1.6791667) | Model: goma (29.2227778,-1.6791667) p = 6427
t_i | Gold: zaire (25.0,0.0) | Model: zaire (-72.2,19.4833333) p = 526
t_c | Gold: rwanda (30.0,-2.0) | Model: rwanda (30.0,-2.0) p = 0
t_c | Gold: rwanda (30.0,-2.0) | Model: rwanda (30.0,-2.0) p = 0
t_c | Gold: rwanda (30.0,-2.0) | Model: rwanda (30.0,-2.0) p = 0
t_i | Gold: zaire (25.0,0.0) | Model: zaire (-72.2,19.4833333) p = 526
t_c | Gold: kigali (30.0605556,-1.9536111) | Model: kigali (29.95,-2.3) p = 572
t_i | Gold: zaire (25.0,0.0) | Model: zaire (-72.2,19.4833333) p = 526
t_i | Gold: kivu (28.0,-2.5) | Model: kivu (29.4666667,-2.6166667) p = 1789
t_c | Gold: gisenyi (29.2547222,-1.6875) | Model: gisenyi (29.2563889,-1.7027778) p = 180
t_i | Gold: kivu (28.0,-2.5) | Model: kivu (29.4666667,-2.6166667) p = 1789
t_c | Gold: gisenyi (29.2547222,-1.6875) | Model: gisenyi (29.2563889,-1.7027778) p = 180
t_c | Gold: gisenyi (29.2547222,-1.6875) | Model: gisenyi (29.2563889,-1.7027778) p = 180
#############################################
t_i | Gold: belgrade (20.4680556,44.8186111) | Model: belgrade (-90.84917,37.78667) p = 3631
#############################################
t_c | Gold: jakarta (106.8294444,-6.1744444) | Model: jakarta (106.8294444,-6.1744444) p = 68
t_c | Gold: hong kong (114.1833333,22.25) | Model: hong kong (114.16666666666667,22.25) p = 0
t_i | Gold: united kingdom (-4.0,54.0) | Model: united kingdom (-2.0,54.0) p = 0
t_c | Gold: singapore (103.8,1.3666667) | Model: singapore (103.8,1.3666666666666667) p = 0
t_c | Gold: jakarta (106.8294444,-6.1744444) | Model: jakarta (106.8294444,-6.1744444) p = 68
#############################################
t_i | Gold: new york (-74.00639,40.71417) | Model: new york (-0.15,53.0833333) p = 5000
t_c | Gold: czech republic (15.0,49.75) | Model: czech republic (15.5,49.75) p = 0
t_i | Gold: indonesia (120.0,0.0) | Model: indonesia (120.0,-5.0) p = 0
t_c | Gold: wimbledon (-0.2166667,51.4333333) | Model: wimbledon (-0.2166667,51.4333333) p = 5800
t_i | Gold: new york (-74.00639,40.71417) | Model: new york (-0.15,53.0833333) p = 5000
t_c | Gold: belarus (28.0,53.0) | Model: belarus (28.0,53.0) p = 0
t_c | Gold: morocco (-5.0,32.0) | Model: morocco (-5.0,32.0) p = 0
t_c | Gold: netherlands (5.75,52.5) | Model: netherlands (5.75,52.5) p = 0
t_c | Gold: romania (25.0,46.0) | Model: romania (25.0,46.0) p = 0
#############################################
t_i | Gold: australia (135.0,-25.0) | Model: australia (133.0,-27.0) p = 0
t_i | Gold: canberra (148.4333333,-26.7833333) | Model: canberra (149.2166667,-35.2833333) p = 1350
#############################################
t_i | Gold: brazil (-55.0,-10.0) | Model: brazil (-84.04167,37.52472) p = 3000
t_i | Gold: amsterdam (4.9166667,52.35) | Model: amsterdam (-84.43583,30.72722) p = 17409
t_i | Gold: brazil (-55.0,-10.0) | Model: brazil (-84.04167,37.52472) p = 3000
t_i | Gold: amsterdam (4.9166667,52.35) | Model: amsterdam (-84.43583,30.72722) p = 17409
#############################################
t_i | Gold: bonn (7.1,50.7333333) | Model: bonn (-81.38556,39.53139) p = 932
#############################################
t_i | Gold: brussels (4.3333333,50.8333333) | Model: brussels (-87.62083,44.73611) p = 827
t_i | Gold: britain (-4.0,54.0) | Model: britain (-77.69722,39.25278) p = 18069
t_i | Gold: britain (-4.0,54.0) | Model: britain (-77.69722,39.25278) p = 18069
t_i | Gold: britain (-4.0,54.0) | Model: britain (-77.69722,39.25278) p = 18069
t_i | Gold: britain (-4.0,54.0) | Model: britain (-77.69722,39.25278) p = 18069
#############################################
t_c | Gold: south island (171.0,-43.0) | Model: null
t_c | Gold: wellington (174.7666667,-41.2833333) | Model: wellington (174.7833333,-41.3) p = 2214
t_c | Gold: south island (171.0,-43.0) | Model: null
t_i | Gold: waiau (170.1833333,-43.4) | Model: waiau (173.05,-42.65) p = 5476
t_c | Gold: nelson (172.5,-41.6666667) | Model: nelson (173.2833333,-41.2833333) p = 4
t_c | Gold: christchurch (172.6666667,-43.5333333) | Model: christchurch (172.6333333,-43.5333333) p = 82
t_c | Gold: hanmer (172.8166667,-42.5166667) | Model: hanmer (172.8166667,-42.5166667) p = 7533
t_i | Gold: new zealand (-0.0,41.0) | Model: new zealand (174.0,-41.0) p = 0
t_i | Gold: britain (-4.0,54.0) | Model: britain (-77.69722,39.25278) p = 18069
t_i | Gold: japan (138.0,36.0) | Model: japan (-75.91056,40.9925) p = 752
#############################################
t_i | Gold: warsaw (21.0,52.25) | Model: warsaw (-88.20306,32.9375) p = 3634
t_i | Gold: poland (20.0,52.0) | Model: poland (-86.95083,39.44417) p = 8740
t_i | Gold: new york (-74.00639,40.71417) | Model: new york (-87.20083,30.83833) p = 17778
#############################################
t_i | Gold: miami (-80.19389,25.77389) | Model: miami (-72.4625,7.8908333) p = 3643
t_i | Gold: new york (-75.81028,42.75633) | Model: new york (-77.1333333,18.1166667) p = 5000
t_i | Gold: new jersey (-74.37751,40.13828) | Model: new jersey (-61.6333333,10.2333333) p = 8600
#############################################
t_c | Gold: heerenveen (5.9333333,52.95) | Model: heerenveen (5.9333333,52.95) p = 4248
t_c | Gold: amsterdam (4.9166667,52.35) | Model: amsterdam (4.9166667,52.35) p = 357
t_c | Gold: breda (4.8,51.5666667) | Model: breda (4.8,51.5666667) p = 25100
t_c | Gold: amsterdam (4.9166667,52.35) | Model: amsterdam (4.9166667,52.35) p = 357
#############################################
t_c | Gold: u.s. (-97.0,38.0) | Model: null
t_i | Gold: chicago (-87.65,41.85) | Model: chicago (-84.1333333,13.1166667) p = 758
t_i | Gold: portland (-122.675,45.52361) | Model: portland (-93.12333,43.12861) p = 100
t_i | Gold: portland (-122.675,45.52361) | Model: portland (-93.12333,43.12861) p = 100
t_c | Gold: u.s. (-97.0,38.0) | Model: null
t_i | Gold: kansas city (-94.62722,39.11417) | Model: kansas city (-84.0833333,13.2) p = 5
t_i | Gold: chicago (-87.65,41.85) | Model: chicago (-84.1333333,13.1166667) p = 758
#############################################
t_i | Gold: london (-0.1,51.5166667) | Model: london (-84.08333,37.12889) p = 7201
#############################################
t_i | Gold: amsterdam (4.9166667,52.35) | Model: amsterdam (-84.43583,30.72722) p = 17409
#############################################
t_c | Gold: albania (20.0,41.0) | Model: albania (20.0,41.0) p = 0
t_c | Gold: greece (22.0,39.0) | Model: greece (22.0,39.0) p = 0
t_c | Gold: tirana (19.9166667,41.3333333) | Model: tirana (19.8188889,41.3275) p = 1
t_c | Gold: albania (20.0,41.0) | Model: albania (20.0,41.0) p = 0
t_c | Gold: greece (22.0,39.0) | Model: greece (22.0,39.0) p = 0
t_c | Gold: greece (22.0,39.0) | Model: greece (22.0,39.0) p = 0
t_c | Gold: greece (22.0,39.0) | Model: greece (22.0,39.0) p = 0
t_c | Gold: athens (23.7333333,37.9833333) | Model: athens (23.7333333,37.9833333) p = 374
t_c | Gold: tirana (19.9166667,41.3333333) | Model: tirana (19.8188889,41.3275) p = 1
#############################################
t_c | Gold: iran (53.0,32.0) | Model: iran (53.0,32.0) p = 0
t_c | Gold: iran (53.0,32.0) | Model: iran (53.0,32.0) p = 0
t_c | Gold: iran (53.0,32.0) | Model: iran (53.0,32.0) p = 0
t_c | Gold: iran (53.0,32.0) | Model: iran (53.0,32.0) p = 0
t_c | Gold: afghanistan (65.0,33.0) | Model: afghanistan (65.0,33.0) p = 0
t_i | Gold: pakistan (-0.0,30.0) | Model: pakistan (70.0,30.0) p = 0
#############################################
t_i | Gold: warsaw (21.0,52.25) | Model: warsaw (-92.155,34.95222) p = 6625
t_i | Gold: poland (20.0,52.0) | Model: poland (-97.21806,48.19778) p = 171
t_i | Gold: warsaw (21.0,52.25) | Model: warsaw (-92.155,34.95222) p = 6625
#############################################
t_c | Gold: israel (34.75,31.5) | Model: israel (34.75,31.5) p = 0
t_c | Gold: west bank (35.25,31.6666667) | Model: west bank (35.25,32.0) p = 0
t_c | Gold: jerusalem (35.2333333,31.7666667) | Model: jerusalem (35.2333333,31.7666667) p = 1454
t_c | Gold: israel (34.75,31.5) | Model: israel (34.75,31.5) p = 0
t_c | Gold: west bank (35.25,31.6666667) | Model: west bank (35.25,32.0) p = 0
t_c | Gold: west bank (35.25,31.6666667) | Model: west bank (35.25,32.0) p = 0
t_c | Gold: west bank (35.25,31.6666667) | Model: west bank (35.25,32.0) p = 0
t_c | Gold: gaza (34.4666667,31.5) | Model: gaza (34.4666667,31.5) p = 366
